File,MotionCutoff,FreezeThresh,MinFreezeDuration,Frame,Motion,Freezing
Freezing_animal.mpg,10.0,200.0,15.0,0,0.0,0
Freezing_animal.mpg,10.0,200.0,15.0,1,575.0,0
Freezing_animal.mpg,10.0,200.0,15.0,2,892.0,0
Freezing_animal.mpg,10.0,200.0,15.0,3,631.0,0
Freezing_animal.mpg,10.0,200.0,15.0,4,420.0,0
Freezing_animal.mpg,10.0,200.0,15.0,5,522.0,0
Freezing_animal.mpg,10.0,200.0,15.0,6,710.0,0
Freezing_animal.mpg,10.0,200.0,15.0,7,517.0,0
Freezing_animal.mpg,10.0,200.0,15.0,8,524.0,0
Freezing_animal.mpg,10.0,200.0,15.0,9,224.0,0
Freezing_animal.mpg,10.0,200.0,15.0,10,475.0,0
Freezing_animal.mpg,10.0,200.0,15.0,11,400.0,0
Freezing_animal.mpg,10.0,200.0,15.0,12,663.0,0
Freezing_animal.mpg,10.0,200.0,15.0,13,397.0,0
Freezing_animal.mpg,10.0,200.0,15.0,14,581.0,0
Freezing_animal.mpg,10.0,200.0,15.0,15,690.0,0
Freezing_animal.mpg,10.0,200.0,15.0,16,781.0,0
Freezing_animal.mpg,10.0,200.0,15.0,17,1126.0,0
Freezing_animal.mpg,10.0,200.0,15.0,18,1100.0,0
Freezing_animal.mpg,10.0,200.0,15.0,19,677.0,0
Freezing_animal.mpg,10.0,200.0,15.0,20,804.0,0
Freezing_animal.mpg,10.0,200.0,15.0,21,844.0,0
Freezing_animal.mpg,10.0,200.0,15.0,22,808.0,0
Freezing_animal.mpg,10.0,200.0,15.0,23,1053.0,0
Freezing_animal.mpg,10.0,200.0,15.0,24,906.0,0
Freezing_animal.mpg,10.0,200.0,15.0,25,1004.0,0
Freezing_animal.mpg,10.0,200.0,15.0,26,736.0,0
Freezing_animal.mpg,10.0,200.0,15.0,27,695.0,0
Freezing_animal.mpg,10.0,200.0,15.0,28,991.0,0
Freezing_animal.mpg,10.0,200.0,15.0,29,951.0,0
Freezing_animal.mpg,10.0,200.0,15.0,30,630.0,0
Freezing_animal.mpg,10.0,200.0,15.0,31,1344.0,0
Freezing_animal.mpg,10.0,200.0,15.0,32,939.0,0
Freezing_animal.mpg,10.0,200.0,15.0,33,435.0,0
Freezing_animal.mpg,10.0,200.0,15.0,34,518.0,0
Freezing_animal.mpg,10.0,200.0,15.0,35,493.0,0
Freezing_animal.mpg,10.0,200.0,15.0,36,906.0,0
Freezing_animal.mpg,10.0,200.0,15.0,37,838.0,0
Freezing_animal.mpg,10.0,200.0,15.0,38,724.0,0
Freezing_animal.mpg,10.0,200.0,15.0,39,721.0,0
Freezing_animal.mpg,10.0,200.0,15.0,40,768.0,0
Freezing_animal.mpg,10.0,200.0,15.0,41,724.0,0
Freezing_animal.mpg,10.0,200.0,15.0,42,1182.0,0
Freezing_animal.mpg,10.0,200.0,15.0,43,645.0,0
Freezing_animal.mpg,10.0,200.0,15.0,44,763.0,0
Freezing_animal.mpg,10.0,200.0,15.0,45,467.0,0
Freezing_animal.mpg,10.0,200.0,15.0,46,770.0,0
Freezing_animal.mpg,10.0,200.0,15.0,47,1011.0,0
Freezing_animal.mpg,10.0,200.0,15.0,48,572.0,0
Freezing_animal.mpg,10.0,200.0,15.0,49,776.0,0
Freezing_animal.mpg,10.0,200.0,15.0,50,1213.0,0
Freezing_animal.mpg,10.0,200.0,15.0,51,920.0,0
Freezing_animal.mpg,10.0,200.0,15.0,52,747.0,0
Freezing_animal.mpg,10.0,200.0,15.0,53,895.0,0
Freezing_animal.mpg,10.0,200.0,15.0,54,932.0,0
Freezing_animal.mpg,10.0,200.0,15.0,55,590.0,0
Freezing_animal.mpg,10.0,200.0,15.0,56,822.0,0
Freezing_animal.mpg,10.0,200.0,15.0,57,788.0,0
Freezing_animal.mpg,10.0,200.0,15.0,58,608.0,0
Freezing_animal.mpg,10.0,200.0,15.0,59,342.0,0
Freezing_animal.mpg,10.0,200.0,15.0,60,509.0,0
Freezing_animal.mpg,10.0,200.0,15.0,61,792.0,0
Freezing_animal.mpg,10.0,200.0,15.0,62,630.0,0
Freezing_animal.mpg,10.0,200.0,15.0,63,726.0,0
Freezing_animal.mpg,10.0,200.0,15.0,64,522.0,0
Freezing_animal.mpg,10.0,200.0,15.0,65,577.0,0
Freezing_animal.mpg,10.0,200.0,15.0,66,815.0,0
Freezing_animal.mpg,10.0,200.0,15.0,67,767.0,0
Freezing_animal.mpg,10.0,200.0,15.0,68,533.0,0
Freezing_animal.mpg,10.0,200.0,15.0,69,484.0,0
Freezing_animal.mpg,10.0,200.0,15.0,70,623.0,0
Freezing_animal.mpg,10.0,200.0,15.0,71,515.0,0
Freezing_animal.mpg,10.0,200.0,15.0,72,237.0,0
Freezing_animal.mpg,10.0,200.0,15.0,73,98.0,0
Freezing_animal.mpg,10.0,200.0,15.0,74,234.0,0
Freezing_animal.mpg,10.0,200.0,15.0,75,113.0,0
Freezing_animal.mpg,10.0,200.0,15.0,76,290.0,0
Freezing_animal.mpg,10.0,200.0,15.0,77,246.0,0
Freezing_animal.mpg,10.0,200.0,15.0,78,299.0,0
Freezing_animal.mpg,10.0,200.0,15.0,79,610.0,0
Freezing_animal.mpg,10.0,200.0,15.0,80,693.0,0
Freezing_animal.mpg,10.0,200.0,15.0,81,895.0,0
Freezing_animal.mpg,10.0,200.0,15.0,82,592.0,0
Freezing_animal.mpg,10.0,200.0,15.0,83,493.0,0
Freezing_animal.mpg,10.0,200.0,15.0,84,263.0,0
Freezing_animal.mpg,10.0,200.0,15.0,85,317.0,0
Freezing_animal.mpg,10.0,200.0,15.0,86,67.0,0
Freezing_animal.mpg,10.0,200.0,15.0,87,169.0,0
Freezing_animal.mpg,10.0,200.0,15.0,88,601.0,0
Freezing_animal.mpg,10.0,200.0,15.0,89,927.0,0
Freezing_animal.mpg,10.0,200.0,15.0,90,1134.0,0
Freezing_animal.mpg,10.0,200.0,15.0,91,1035.0,0
Freezing_animal.mpg,10.0,200.0,15.0,92,1079.0,0
Freezing_animal.mpg,10.0,200.0,15.0,93,1167.0,0
Freezing_animal.mpg,10.0,200.0,15.0,94,948.0,0
Freezing_animal.mpg,10.0,200.0,15.0,95,786.0,0
Freezing_animal.mpg,10.0,200.0,15.0,96,1203.0,0
Freezing_animal.mpg,10.0,200.0,15.0,97,883.0,0
Freezing_animal.mpg,10.0,200.0,15.0,98,1200.0,0
Freezing_animal.mpg,10.0,200.0,15.0,99,910.0,0
Freezing_animal.mpg,10.0,200.0,15.0,100,595.0,0
Freezing_animal.mpg,10.0,200.0,15.0,101,602.0,0
Freezing_animal.mpg,10.0,200.0,15.0,102,827.0,0
Freezing_animal.mpg,10.0,200.0,15.0,103,1105.0,0
Freezing_animal.mpg,10.0,200.0,15.0,104,1054.0,0
Freezing_animal.mpg,10.0,200.0,15.0,105,968.0,0
Freezing_animal.mpg,10.0,200.0,15.0,106,810.0,0
Freezing_animal.mpg,10.0,200.0,15.0,107,967.0,0
Freezing_animal.mpg,10.0,200.0,15.0,108,712.0,0
Freezing_animal.mpg,10.0,200.0,15.0,109,569.0,0
Freezing_animal.mpg,10.0,200.0,15.0,110,768.0,0
Freezing_animal.mpg,10.0,200.0,15.0,111,759.0,0
